Round 1     [ 1 of Clubs    ,  8 of Hearts   ,  1 of Hearts   ,  5 of Clubs    ]
Round 81    [ 2 of Spades   ,  9 of Hearts   ,  5 of Spades   ,  3 of Hearts   ]
Round 82    [ 1 of Spades   ,  1 of Hearts   ,  K of Clubs    ,  Q of Spades   ]
Round 83    [ 1 of Hearts   ,  2 of Spades   ,  8 of Spades   ,  6 of Diamonds ]
Round 84    [ J of Hearts   ,  3 of Spades   ,  K of Clubs    ,  J of Spades   ]
Round 85    [ 3 of Clubs    ,  K of Diamonds ,  3 of Diamonds ,  1 of Spades   ]
Round 86    [ 1 of Diamonds ,  2 of Spades   ,  6 of Clubs    ,  3 of Spades   ]
Round 87    [ 6 of Spades   ,  6 of Hearts   ,  1 of Spades   ,  7 of Clubs    ]
Round 88    [ 9 of Clubs    ,  2 of Clubs    ,  9 of Diamonds ,  1 of Spades   ]
Round 89    [ 3 of Clubs    ,  1 of Spades   ,  J of Clubs    ,  8 of Hearts   ]
Round 90    [ Q of Diamonds ,  Q of Hearts   ,  6 of Spades   ,  8 of Clubs    ]
Round 91    [ 9 of Diamonds ,  J of Spades   ,  3 of Spades   ,  8 of Hearts   ]
Round 92    [ 3 of Clubs    ,  Q of Clubs    ,  3 of Diamonds ,  Q of Spades   ]
Round 93    [ 5 of Spades   ,  1 of Hearts   ,  9 of Diamonds ,  9 of Spades   ]
Round 94    [ 2 of Spades   ,  7 of Diamonds ,  2 of Diamonds ,  K of Hearts   ]
Round 95    [ A of Clubs    ,  6 of Spades   ,  9 of Spades   ,  J of Clubs    ]
Round 96    [ J of Clubs    ,  3 of Hearts   ,  2 of Spades   ,  7 of Hearts   ]
Round 97    [ 2 of Spades   ,  7 of Hearts   ,  4 of Hearts   ,  8 of Diamonds ]
Round 98    [ 7 of Diamonds ,  5 of Hearts   ,  3 of Spades   ,  1 of Hearts   ]
Round 99    [ K of Diamonds ,  7 of Diamonds ,  3 of Clubs    ,  9 of Spades   ]
Round 100   [ 9 of Spades   ,  3 of Diamonds ,  Q of Clubs    ,  6 of Hearts   ]
Round 101   [ 6 of Clubs    ,  1 of Hearts   ,  6 of Diamonds ,  7 of Clubs    ]
Round 102   [ J of Diamonds ,  5 of Diamonds ,  Q of Diamonds ,  2 of Hearts   ]
Round 103   [ 1 of Hearts   ,  2 of Diamonds ,  8 of Spades   ,  2 of Clubs    ]
Round 104   [ A of Clubs    ,  J of Clubs    ,  7 of Spades   ,  K of Clubs    ]
Round 105   [ 3 of Spades   ,  J of Spades   ,  9 of Spades   ,  A of Clubs    ]
Round 106   [ 9 of Hearts   ,  6 of Clubs    ,  3 of Diamonds ,  Q of Clubs    ]
Round 107   [ 7 of Hearts   ,  6 of Clubs    ,  3 of Clubs    ,  1 of Hearts   ]
Round 108   [ 4 of Hearts   ,  3 of Spades   ,  J of Diamonds ,  6 of Clubs    ]
Round 109   [ 8 of Diamonds ,  2 of Hearts   ,  6 of Diamonds ,  9 of Diamonds ]
Round 110   [ 5 of Hearts   ,  8 of Hearts   ,  1 of Clubs    ,  Q of Spades   ]
Round 111   [ 2 of Spades   ,  A of Diamonds ,  6 of Clubs    ,  4 of Hearts   ]
Round 112   [ 9 of Spades   ,  8 of Diamonds ,  6 of Diamonds ,  2 of Spades   ]
Round 113   [ Q of Diamonds ,  9 of Clubs    ,  7 of Diamonds ,  Q of Hearts   ]
Round 114   [ J of Spades   ,  8 of Diamonds ,  1 of Clubs    ,  8 of Spades   ]
Round 115   [ 9 of Diamonds ,  2 of Clubs    ,  Q of Diamonds ,  2 of Spades   ]
Round 116   [ 1 of Hearts   ,  3 of Hearts   ,  9 of Clubs    ,  2 of Clubs    ]
Round 117   [ J of Hearts   ,  4 of Hearts   ,  A of Spades   ,  Q of Diamonds ]
Round 118   [ 5 of Clubs    ,  4 of Hearts   ,  K of Hearts   ,  9 of Hearts   ]
Round 119   [ A of Diamonds ,  J of Diamonds ,  A of Clubs    ,  7 of Hearts   ]
Round 120   [ 5 of Hearts   ,  2 of Diamonds ,  4 of Diamonds ,  8 of Diamonds ]
Round 121   [ 4 of Hearts   ,  Q of Hearts   ,  A of Diamonds ,  8 of Clubs    ]
Round 122   [ 7 of Diamonds ,  K of Hearts   ,  Q of Clubs    ,  A of Clubs    ]
Round 123   [ 3 of Diamonds ,  8 of Diamonds ,  9 of Spades   ,  4 of Hearts   ]
Round 124   [ 9 of Spades   ,  6 of Clubs    ,  7 of Clubs    ,  4 of Hearts   ]
Round 125   [ 4 of Diamonds ,  7 of Clubs    ,  J of Spades   ,  9 of Hearts   ]
Round 126   [ Q of Clubs    ,  7 of Diamonds ,  8 of Diamonds ,  9 of Diamonds ]
Round 127   [ A of Diamonds ,  9 of Clubs    ,  6 of Clubs    ,  2 of Hearts   ]
Round 128   [ 8 of Clubs    ,  9 of Diamonds ,  4 of Clubs    ,  4 of Hearts   ]
Round 129   [ 1 of Hearts   ,  4 of Hearts   ,  9 of Spades   ,  Q of Hearts   ]
Round 130   [ 1 of Spades   ,  8 of Clubs    ,  Q of Spades   ,  J of Hearts   ]
Round 131   [ 7 of Diamonds ,  8 of Hearts   ,  7 of Clubs    ,  1 of Spades   ]
Round 132   [ 6 of Diamonds ,  A of Diamonds ,  9 of Clubs    ,  2 of Hearts   ]
Round 133   [ J of Clubs    ,  Q of Hearts   ,  4 of Spades   ,  Q of Clubs    ]
Round 134   [ A of Hearts   ,  8 of Clubs    ,  4 of Clubs    ,  2 of Clubs    ]
Round 135   [ 1 of Clubs    ,  K of Hearts   ,  J of Hearts   ,  3 of Spades   ]
Round 136   [ J of Diamonds ,  6 of Diamonds ,  8 of Clubs    ,  6 of Hearts   ]
Round 137   [ 3 of Clubs    ,  A of Clubs    ,  7 of Clubs    ,  2 of Spades   ]
Round 138   [ 9 of Clubs    ,  6 of Clubs    ,  J of Spades   ,  5 of Diamonds ]
Round 139   [ 5 of Hearts   ,  K of Clubs    ,  3 of Hearts   ,  2 of Clubs    ]
Round 140   [ K of Hearts   ,  3 of Spades   ,  1 of Clubs    ,  4 of Spades   ]
Round 141   [ 2 of Hearts   ,  5 of Hearts   ,  J of Spades   ,  1 of Hearts   ]
Round 142   [ J of Diamonds ,  5 of Spades   ,  A of Spades   ,  3 of Hearts   ]
Round 143   [ 6 of Spades   ,  4 of Spades   ,  K of Diamonds ,  8 of Hearts   ]
Round 144   [ 4 of Clubs    ,  2 of Clubs    ,  A of Spades   ,  5 of Spades   ]
Round 145   [ Q of Hearts   ,  5 of Hearts   ,  7 of Hearts   ,  2 of Spades   ]
Round 146   [ 2 of Clubs    ,  8 of Clubs    ,  1 of Diamonds ,  A of Clubs    ]
Round 147   [ 7 of Spades   ,  J of Spades   ,  A of Hearts   ,  3 of Diamonds ]
Round 148   [ 6 of Hearts   ,  K of Clubs    ,  5 of Diamonds ,  5 of Clubs    ]
Round 149   [ J of Clubs    ,  2 of Hearts   ,  5 of Clubs    ,  6 of Hearts   ]
Round 150   [ 7 of Spades   ,  9 of Diamonds ,  J of Hearts   ,  Q of Clubs    ]
Round 151   [ J of Diamonds ,  K of Clubs    ,  K of Hearts   ,  7 of Hearts   ]
Round 152   [ 3 of Clubs    ,  Q of Spades   ,  2 of Clubs    ,  5 of Spades   ]
Round 153   [ 7 of Spades   ,  J of Diamonds ,  8 of Clubs    ,  A of Diamonds ]
Round 154   [ J of Hearts   ,  1 of Hearts   ,  5 of Spades   ,  K of Clubs    ]
Round 155   [ 3 of Diamonds ,  6 of Diamonds ,  2 of Clubs    ,  A of Clubs    ]
Round 156   [ K of Hearts   ,  J of Hearts   ,  5 of Diamonds ,  A of Clubs    ]
Round 157   [ 4 of Diamonds ,  J of Clubs    ,  1 of Hearts   ,  5 of Hearts   ]
Round 158   [ 9 of Diamonds ,  7 of Diamonds ,  K of Diamonds ,  9 of Hearts   ]
Round 159   [ 3 of Spades   ,  3 of Diamonds ,  Q of Diamonds ,  J of Diamonds ]
Round 160   [ 9 of Clubs    ,  K of Hearts   ,  7 of Clubs    ,  5 of Diamonds ]
Round 161   [ K of Diamonds ,  A of Clubs    ,  6 of Clubs    ,  5 of Clubs    ]
Round 162   [ 9 of Spades   ,  K of Diamonds ,  7 of Hearts   ,  J of Diamonds ]
Round 163   [ 2 of Hearts   ,  7 of Spades   ,  8 of Spades   ,  9 of Spades   ]
Round 164   [ Q of Diamonds ,  8 of Hearts   ,  8 of Clubs    ,  A of Hearts   ]
Round 165   [ 9 of Spades   ,  6 of Spades   ,  J of Spades   ,  5 of Spades   ]
