Round 1     [ 8 of Clubs    ,  5 of Clubs    ,  Q of Clubs    ,  5 of Spades   ]
Round 53    [ A of Clubs    ,  J of Diamonds ,  4 of Spades   ,  Q of Spades   ]
Round 54    [ 6 of Hearts   ,  7 of Clubs    ,  K of Clubs    ,  A of Clubs    ]
Round 55    [ 6 of Hearts   ,  1 of Spades   ,  9 of Diamonds ,  3 of Spades   ]
Round 56    [ K of Clubs    ,  9 of Diamonds ,  7 of Spades   ,  3 of Spades   ]
Round 57    [ 7 of Hearts   ,  5 of Spades   ,  3 of Clubs    ,  8 of Hearts   ]
Round 58    [ K of Diamonds ,  1 of Spades   ,  3 of Spades   ,  2 of Clubs    ]
Round 59    [ 6 of Spades   ,  Q of Hearts   ,  Q of Clubs    ,  4 of Spades   ]
Round 60    [ 7 of Clubs    ,  A of Hearts   ,  K of Diamonds ,  4 of Spades   ]
Round 61    [ 9 of Spades   ,  Q of Diamonds ,  K of Diamonds ,  1 of Spades   ]
Round 62    [ 8 of Hearts   ,  A of Clubs    ,  5 of Clubs    ,  5 of Spades   ]
Round 63    [ 3 of Diamonds ,  K of Clubs    ,  Q of Clubs    ,  A of Clubs    ]
Round 64    [ 8 of Diamonds ,  1 of Spades   ,  Q of Spades   ,  8 of Spades   ]
Round 65    [ 9 of Spades   ,  3 of Diamonds ,  3 of Spades   ,  6 of Hearts   ]
Round 66    [ 5 of Hearts   ,  2 of Hearts   ,  8 of Diamonds ,  Q of Spades   ]
Round 67    [ 1 of Clubs    ,  7 of Clubs    ,  5 of Hearts   ,  Q of Diamonds ]
Round 68    [ 8 of Diamonds ,  1 of Spades   ,  Q of Spades   ,  A of Hearts   ]
Round 69    [ 4 of Clubs    ,  3 of Diamonds ,  8 of Hearts   ,  J of Hearts   ]
Round 70    [ 8 of Spades   ,  A of Spades   ,  7 of Diamonds ,  4 of Clubs    ]
Round 71    [ 5 of Clubs    ,  1 of Clubs    ,  K of Diamonds ,  9 of Hearts   ]
Round 72    [ A of Spades   ,  9 of Spades   ,  Q of Diamonds ,  6 of Hearts   ]
Round 73    [ 4 of Spades   ,  4 of Hearts   ,  2 of Diamonds ,  A of Clubs    ]
Round 74    [ 8 of Hearts   ,  Q of Spades   ,  J of Spades   ,  7 of Clubs    ]
Round 75    [ 4 of Spades   ,  9 of Diamonds ,  8 of Hearts   ,  6 of Hearts   ]
Round 76    [ 7 of Diamonds ,  J of Diamonds ,  Q of Spades   ,  3 of Hearts   ]
Round 77    [ 4 of Clubs    ,  5 of Hearts   ,  A of Spades   ,  7 of Hearts   ]
Round 78    [ 9 of Hearts   ,  3 of Hearts   ,  2 of Hearts   ,  7 of Diamonds ]
Round 79    [ 1 of Hearts   ,  J of Hearts   ,  6 of Spades   ,  A of Spades   ]
Round 80    [ J of Diamonds ,  1 of Hearts   ,  1 of Clubs    ,  J of Spades   ]
Round 81    [ 1 of Clubs    ,  Q of Hearts   ,  A of Hearts   ,  6 of Diamonds ]
Round 82    [ 5 of Spades   ,  5 of Hearts   ,  3 of Diamonds ,  J of Spades   ]
Round 83    [ 9 of Diamonds ,  J of Clubs    ,  1 of Diamonds ,  7 of Diamonds ]
Round 84    [ 9 of Clubs    ,  J of Spades   ,  K of Diamonds ,  Q of Diamonds ]
Round 85    [ Q of Diamonds ,  4 of Spades   ,  6 of Spades   ,  5 of Clubs    ]
Round 86    [ 5 of Diamonds ,  7 of Spades   ,  9 of Spades   ,  1 of Clubs    ]
Round 87    [ 1 of Hearts   ,  5 of Diamonds ,  Q of Spades   ,  1 of Spades   ]
Round 88    [ 5 of Clubs    ,  4 of Hearts   ,  A of Diamonds ,  6 of Diamonds ]
Round 89    [ Q of Diamonds ,  7 of Clubs    ,  8 of Spades   ,  8 of Clubs    ]
Round 90    [ K of Hearts   ,  5 of Hearts   ,  2 of Hearts   ,  A of Spades   ]
Round 91    [ K of Clubs    ,  K of Diamonds ,  3 of Clubs    ,  5 of Spades   ]
Round 92    [ 7 of Clubs    ,  9 of Spades   ,  2 of Spades   ,  9 of Diamonds ]
Round 93    [ 6 of Spades   ,  1 of Clubs    ,  5 of Hearts   ,  6 of Hearts   ]
Round 94    [ 1 of Hearts   ,  4 of Clubs    ,  4 of Hearts   ,  3 of Clubs    ]
Round 95    [ A of Hearts   ,  3 of Spades   ,  5 of Spades   ,  6 of Hearts   ]
Round 96    [ 4 of Diamonds ,  8 of Spades   ,  7 of Spades   ,  J of Spades   ]
Round 97    [ 5 of Clubs    ,  8 of Clubs    ,  A of Clubs    ,  6 of Clubs    ]
